,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
12,13,Robinson der Jüngere,Campe,1746,Aufklaerung,Roman,epik,1779,Campe_Robinson.txt,https://www.projekt-gutenberg.org/campe/robinson/robinson.html,,105762
117,118,Peter Schlemihls wundersame Geschichte ,Chamisso,1781,Kunstepoche,Novelle,epik,1813,Chamisso_PeterSchlemihl.txt,https://www.projekt-gutenberg.org/autoren/namen/chamisso.html,,20658
37,38,Ahnung und Gegenwart,Eichendorff,1788,Kunstepoche,Roman,epik,1812,Eichendorff_AhnungundGegenwart.txt,https://www.projekt-gutenberg.org/eichndrf/ahnung/ahnung.html,,101959
38,39,Aus dem Leben eines Taugenichts,Eichendorff,1788,Kunstepoche,Novelle,epik,1822,Eichendorff_LebeneinesTaugenichts.txt,https://www.deutschestextarchiv.de/book/show/eichendorff_taugenichts_1826,muss bereinigt werden,32525
94,95,Gustavs Verirrungen,Fischer,1764,Aufklaerung,Roman,epik,1801,Fischer_GustavsVerirrungen.txt,,,17820
95,96,Vierzehn Tage in Paris,Fischer,1764,Aufklaerung,Roman,epik,1801,Fischer_14TageInParies.txt,,,14782
96,97,Die Günstlinge,Fischer,1764,Aufklaerung,Roman,epik,1809,Fischer_DieGuenstlinge.txt,,,18483
97,98,Margaethe,Fischer,1764,Aufklaerung,Roman,epik,1812,Fischer_Magarethe.txt,,,41292
54,55,Das Leben der Schwedischen Gräfin von G ,Gellert,1715,Aufklaerung,Roman,epik,1748,Gellert_SchwedischeGraefingVonG.txt,,,50530
1,2,Die Leiden des jungen Werthers,Goethe,1749,Aufklaerung,Roman,epik,1774,Goethe_Werther.txt,https://www.projekt-gutenberg.org/goethe/werther/chap01.html,Sturm und Drang,41869
17,18,Wilhelm Meisters theatralische Sendung,Goethe,1749,Aufklaerung,Roman,epik,1777,Goethe_MeisterSendung.txt,https://www.projekt-gutenberg.org/goethe/meisthea/meisthea.html,,112525
18,19,Wilhelm Meisters Lehrjahre,Goethe,1749,Aufklaerung,Roman,epik,1795,Goethe_MeisterLehrjahre.txt,https://www.projekt-gutenberg.org/goethe/meisterl/meisterl.html,,176062
19,20,Reineke Fuchs,Goethe,1749,Aufklaerung,Epos,epik,1793,Goethe_ReinkeFuchs.txt,https://www.projekt-gutenberg.org/goethe/reineke/reineke.html,Versepos,44379
20,21,Hermann und Dorothea,Goethe,1749,Aufklaerung,Epos,epik,1797,Goethe_HermannUndDorothea.txt,https://www.projekt-gutenberg.org/goethe/hermann/hermann.html,Versepos,20873
35,36,Die Wahlverwandschaften,Goethe,1749,Aufklaerung,Roman,epik,1809,Goethe_Wahlverwandtschaften.txt,https://www.projekt-gutenberg.org/goethe/wahlverw/wahlverw.html,,82663
36,37,Wilhelm Meisters Wanderjahre,Goethe,1749,Aufklaerung,Roman,epik,1829,Goethe_Wanderjahre.txt,https://www.projekt-gutenberg.org/goethe/meisterw/meisterw.html,,153394
106,107,Geschichte eines Braminen,Guenderrode,1780,Kunstepoche,Roman,epik,1799,Guenderrode_Braminen.txt,"http://www.zeno.org/Literatur/M/G%C3%BCnderrode,+Karoline+von/Prosa",,3826
107,108,Prosa aus dem Nachlaß,Guenderrode,1780,Kunstepoche,Roman,epik,1804,Guenderrode_Nachlass.txt,"http://www.zeno.org/Literatur/M/G%C3%BCnderrode,+Karoline+von/Prosa",,1853
82,83,Lichtenstein,Hauff,1802,Kunstepoche,Roman,epik,1826,Hauff_Lichtenstein.txt,https://www.projekt-gutenberg.org/autoren/namen/hauff.html,,116931
83,84,Der Mann im Mond,Hauff,1802,Kunstepoche,Roman,epik,1826,Hauff_DerMannImMond.txt,https://www.projekt-gutenberg.org/autoren/namen/hauff.html,,72337
60,61,Der Zundelheiner,Hebel,1813,Kunstepoche,Kalendergeschichten,epik,1811,Hebel_Zundelheiner.txt,,,6071
69,70,Ardinghello und die glückseeligen Inseln ,Heinse,1746,Aufklaerung,Roman,epik,1787,Heinse_Ardinghello.txt,https://www.projekt-gutenberg.org/autoren/namen/heinse.html,,105906
41,42,Elixiere des Teufels,Hoffmann,1776,Kunstepoche,Roman,epik,1815,Hoffmann_ElixieredesTeufels.txt,https://www.projekt-gutenberg.org/etahoff/elexiere/index.html,,111298
